instrumentId,exchangeId,windCode,miniSpread,contractMultiplier,daySecBgnHour,daySecBgnMinute,daySecEndHour,daySecEndMinute,hasNgtSec,ngtSecBgnHour,ngtSecBgnMinute,ngtSecEndHour,ngtSecEndMinute
fb,DCE,FB.DCE,0.50,10,9,0,15,0,0,21,0,21,0
bb,DCE,BB.DCE,0.05,500,9,0,15,0,0,21,0,21,0
jd,DCE,JD.DCE,1.00,10,9,0,15,0,0,21,0,21,0
lh,DCE,LH.DCE,5.00,16,9,0,15,0,0,21,0,21,0
a,DCE,A.DCE,1.00,10,9,0,15,0,1,21,0,23,0
b,DCE,B.DCE,1.00,10,9,0,15,0,1,21,0,23,0
c,DCE,C.DCE,1.00,10,9,0,15,0,1,21,0,23,0
cs,DCE,CS.DCE,1.00,10,9,0,15,0,1,21,0,23,0
eg,DCE,EG.DCE,1.00,10,9,0,15,0,1,21,0,23,0
eb,DCE,EB.DCE,1.00,5,9,0,15,0,1,21,0,23,0
i,DCE,I.DCE,0.50,100,9,0,15,0,1,21,0,23,0
j,DCE,J.DCE,0.50,100,9,0,15,0,1,21,0,23,0
jm,DCE,JM.DCE,0.50,60,9,0,15,0,1,21,0,23,0
l,DCE,L.DCE,1.00,5,9,0,15,0,1,21,0,23,0
m,DCE,M.DCE,1.00,10,9,0,15,0,1,21,0,23,0
p,DCE,P.DCE,2.00,10,9,0,15,0,1,21,0,23,0
pg,DCE,PG.DCE,1.00,20,9,0,15,0,1,21,0,23,0
pp,DCE,PP.DCE,1.00,5,9,0,15,0,1,21,0,23,0
rr,DCE,RR.DCE,1.00,10,9,0,15,0,1,21,0,23,0
v,DCE,V.DCE,1.00,5,9,0,15,0,1,21,0,23,0
y,DCE,Y.DCE,2.00,10,9,0,15,0,1,21,0,23,0
sc,INE,SC.INE,0.10,1000,9,0,15,0,1,21,0,2,30
lu,INE,LU.INE,1.00,10,9,0,15,0,1,21,0,23,0
nr,INE,NR.INE,5.00,10,9,0,15,0,1,21,0,23,0
bc,INE,BC.INE,10.00,5,9,0,15,0,1,21,0,1,0
ec,INE,EC.INE,0.100,1,9,0,15,0,0,21,0,21,0
wr,SHFE,WR.SHF,1.00,10,9,0,15,0,0,21,0,21,0
cu,SHFE,CU.SHF,10.00,5,9,0,15,0,1,21,0,1,0
al,SHFE,AL.SHF,5.00,5,9,0,15,0,1,21,0,1,0
zn,SHFE,ZN.SHF,5.00,5,9,0,15,0,1,21,0,1,0
pb,SHFE,PB.SHF,5.00,5,9,0,15,0,1,21,0,1,0
sn,SHFE,SN.SHF,10.00,1,9,0,15,0,1,21,0,1,0
ni,SHFE,NI.SHF,10.00,1,9,0,15,0,1,21,0,1,0
ss,SHFE,SS.SHF,5.00,5,9,0,15,0,1,21,0,1,0
ao,SHFE,AO.SHF,1.00,20,9,0,15,0,1,21,0,1,0
au,SHFE,AU.SHF,0.02,1000,9,0,15,0,1,21,0,2,30
ag,SHFE,AG.SHF,1.00,15,9,0,15,0,1,21,0,2,30
bu,SHFE,BU.SHF,2.00,10,9,0,15,0,1,21,0,23,0
fu,SHFE,FU.SHF,1.00,10,9,0,15,0,1,21,0,23,0
hc,SHFE,HC.SHF,1.00,10,9,0,15,0,1,21,0,23,0
rb,SHFE,RB.SHF,1.00,10,9,0,15,0,1,21,0,23,0
ru,SHFE,RU.SHF,5.00,10,9,0,15,0,1,21,0,23,0
br,SHFE,BR.SHF,5.00,5,9,0,15,0,1,21,0,23,0
sp,SHFE,SP.SHF,2.00,10,9,0,15,0,1,21,0,23,0
AP,CZCE,AP.CZC,1.00,10,9,0,15,0,0,21,0,21,0
CJ,CZCE,CJ.CZC,5.00,5,9,0,15,0,0,21,0,21,0
JR,CZCE,JR.CZC,1.00,20,9,0,15,0,0,21,0,21,0
LR,CZCE,LR.CZC,1.00,20,9,0,15,0,0,21,0,21,0
PM,CZCE,PM.CZC,1.00,50,9,0,15,0,0,21,0,21,0
RI,CZCE,RI.CZC,1.00,20,9,0,15,0,0,21,0,21,0
RS,CZCE,RS.CZC,1.00,10,9,0,15,0,0,21,0,21,0
SF,CZCE,SF.CZC,2.00,5,9,0,15,0,0,21,0,21,0
SM,CZCE,SM.CZC,2.00,5,9,0,15,0,0,21,0,21,0
WH,CZCE,WH.CZC,1.00,20,9,0,15,0,0,21,0,21,0
UR,CZCE,UR.CZC,1.00,20,9,0,15,0,0,21,0,21,0
PK,CZCE,PK.CZC,2.00,5,9,0,15,0,0,21,0,21,0
CF,CZCE,CF.CZC,5.00,5,9,0,15,0,1,21,0,23,0
CY,CZCE,CY.CZC,5.00,5,9,0,15,0,1,21,0,23,0
FG,CZCE,FG.CZC,1.00,20,9,0,15,0,1,21,0,23,0
